id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	commande	Notes	B_type	CO_NCO
351	TMZ1	1500	TMZ	1	1	27816	27914	30493	30516	27864.75	30504.75	4:4_3:5_2:6_3:5_4:4_3:5_4:4_3:5	NA	2580	2640	2699	0	NA	NA	NA	NA	NA	NA	NA	1338.98	225	5.96	123	NA	NA	0	4	1	NA	NA	1	1	NA	NA	30493	                        graph_bin_annot3(1,26000,31000)		Unknown	CO
1	TMZ1	1500	TMZ	1	1	45030	45198	45198	45831	45114.25	45514.25	03:05	1	1	400	800	1	400	0	801	45030_45198	45198_45831	45198_56786	45831_57455	480.21	67	7.21	1	1	5	1	2	1	0	1	1	1	1	1	45198	                      graph_bin_annot3(1,44000,46000,c(5,6))		One-Sided	NCO
2	TMZ1	1500	TMZ	1	1	56786	57455	57739	59349	57120.25	58544.25	6:2_5:3	1	285	1424	2562	2	476_947	                      0_0	953_1894	56786_57455_57739	57455_57739_59349	57455_57739_60774	57739_59349_60915	982.15	213	4.6	2	1_1	34_3	1	7	1	0	1	1	1	1	1	57739	                      graph_bin_annot3(1,55000,60000,c(3,4))		Full Conversion	NCO
3	TMZ1	1500	TMZ	1	1	60774	60915	61999	62308	60844.5	62153.5	03:05	1	1085	1309	1533	1	1309	1084	1534	60774_61999	60915_62308	61999_66696	62308_67476	867.64	128	6.8	7	7	7	1	2	1	0	1	1	1	1	1	61999	                      graph_bin_annot3(1,59000,63000,c(7,8))		One-Sided	NCO
4	TMZ1	1500	TMZ	1	1	66696	67476	69280	69403	67085.75	69341.75	05:03	1	1805	2256	2706	1	2256	1804	2707	66696_69280	67476_69403	69280_114283	69403_114652	679.11	225	3.01	9	9	4	1	1	1	0	1	1	1	1	1	69280	                      graph_bin_annot3(1,65000,70000,c(3,4))		One-Sided	NCO
5	TMZ1	1500	TMZ	1	1	114283	114652	114652	114824	114467.75	114737.75	05:03	1	1	270	540	1	270	0	541	114283_114652	114652_114824	114652_119460	114824_119659	193.96	45	4.31	1	1	2	1	1	1	0	1	1	1	1	1	114652	                      graph_bin_annot3(1,113000,115000,c(1,2))		One-Sided	NCO
6	TMZ1	1500	TMZ	1	1	119460	119659	120944	121235	119559.5	121089.5	03:05	1	1286	1530	1774	1	1530	1285	1775	119460_120944	119659_121235	120944_128637	121235_128756	301.06	148	2.04	5	5	7	1	2	1	0	1	1	1	1	1	120944	                      graph_bin_annot3(1,118000,122000,c(7,8))		One-Sided	NCO
7	TMZ1	1500	TMZ	1	1	128637	128756	132066	135319	128696.5	133692.5	(5:3)_(4:4ai)_(4:4bi)_(3:5)_(5:3)_(4:4)	3	3311	4996	6681	0	1630_242_268_684_2172	                      1536_0_0_78_0	1725_484_535_1290_4344	128637_130292_130362_130776_130975_132066	128756_130362_130776_130897_132066_135319	130292_130362_130776_130975_132066_170945	130362_130776_130897_132066_135319_172280	3537.21	556	6.36	12	7_1_1_2_1	2_7_24_4_27	0	1	2	0	2	2	2	2	2	132066	                      graph_bin_annot3(1,127000,136000,c(1,2,3,4,7,8))		2-sis NCO	NCO
8	TMZ1	1500	TMZ	1	1	170945	172280	176015	176169	171612.25	176092.25	4:4ai_5:3_4:4ai_5:3a	2_nonsis	3736	4480	5223	4	1982_726_1309_463	                      942_0_735_166	3021_1452_1883_760	170945_173222_173966_175409_176015	172280_173966_174674_175849_176169	173222_173966_175409_176015_190031	173966_174674_175849_176169_190402	193.96	435	0.45	16	6_1_4_5	25_1_1_5	3	31	1	0	1	1	2	2	1	176015	                      graph_bin_annot3(1,169000,177000,c(1,2,5,6))		Two Chr	NCO
9	TMZ1	1500	TMZ	1	1	190031	190402	191026	191704	190216.75	191364.75	3:5_4:4ai_3:5_4:4ai_5:3	2_nonsis	625	1148	1672	5	277_80_32_348_412	                      27_0_0_259_0	527_159_63_438_824	190031_190429_190558_190588_190880_191026	190402_190558_190588_190621_191026_191704	190429_190558_190588_190880_191026_203117	190558_190588_190621_191026_191704_230218	1289.62	139	9.26	8	2_1_1_3_1	5_2_2_2_5	3	31	1	0	1	1	2	2	1	191026	                      graph_bin_annot3(1,189000,192000,c(1,2,5,6))		Two Chr	NCO
