id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	nb_snp	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	commande	Notes	CO_NCO
3	WT10	1500	SK1-MLH3	10	1	108108	108391	108813	109447	108249.75	109129.75	06:02	1	423	880	1338	1	880	422	1339	108108_108813	108391_109447	108813_199932	109447_201137	4	1	10	1	0	1	1	1	1	1	108690	                      graph_bin_annot3(1,107000,110000,c(7,8))	NA	NCO
2	WT10	1500	SK1-MLH3	10	1	105800	106085	106137	106764	105942.5	106450.5	(6:2)_(4:4aCO)	2_nonsis	53	508	963	2	508	52	964	105800_106137	106085_106764	106137_108108	106764_108391	4	1	15	1	1	0	1	2	1	0	106197	                      graph_bin_annot3(1,104000,107000,c(1,2,7,8))	NA	CO
1	WT10	1500	SK1-MLH3	10	1	66129	67120	66129	67120	66377	66872	(4:4aCO)	2_nonsis	0	495	990	1	0	0	0	66129	67120	105800	106085	0	1	100	1	1	0	1	1	0	0	66625	                      graph_bin_annot3(1,65000,68000,c(3,4,7,8))	NA	CO
160	WT10	1500	SK1-MLH3	10	1	199932	201137	202953	230218	200534.5	216585.5	2:6_6:2	NA	1817	16051	30285	0	0	NA	0	NA	NA	NA	NA	1	0	4	1	NA	NA	1	1	NA	NA	208560	                        graph_bin_annot3(1,198000,231000)	NA	NCO
10	WT10	1500	SK1-MLH3	10	2	343713	343838	343845	343970	343775.5	343907.5	06:02	1	8	132	256	1	132	7	257	343713_343845	343838_343970	343845_408830	343970_410815	2	1	10	1	0	1	1	1	1	1	343842	                      graph_bin_annot3(2,342000,344000,c(1,2))	NA	NCO
13	WT10	1500	SK1-MLH3	10	2	627055	628267	629259	629636	627661.25	629447.25	06:02	1	993	1786	2580	1	1786	992	2581	627055_629259	628267_629636	629259_633960	629636_635577	10	1	10	1	0	1	1	1	1	1	628554	                      graph_bin_annot3(2,626000,630000,c(5,6))	NA	NCO
5	WT10	1500	SK1-MLH3	10	2	142980	143298	143298	143327	143138.75	143312.75	02:06	1	1	174	346	1	174	0	347	142980_143298	143298_143327	143298_144742	143327_145474	1	1	10.1	1	0	1	1	1	1	1	143226	                      graph_bin_annot3(2,141000,144000,c(1,2))	NA	NCO
4	WT10	1500	SK1-MLH3	10	2	48655	48762	49383	49603	48708.75	49492.75	02:06	1	622	784	947	1	784	621	948	48655_49383	48762_49603	49383_142980	49603_143298	8	1	10.1	1	0	1	1	1	1	1	49101	                      graph_bin_annot3(2,47000,50000,c(1,2))	NA	NCO
8	WT10	1500	SK1-MLH3	10	2	192289	194226	195180	195719	193257.5	195449.5	02:06	1	955	2192	3429	1	2192	954	3430	192289_195180	194226_195719	195180_306242	195719_308890	5	1	10.1	1	0	1	1	1	1	1	194354	                      graph_bin_annot3(2,191000,196000,c(3,4))	NA	NCO
6	WT10	1500	SK1-MLH3	10	2	144742	145474	146444	146609	145108.25	146526.25	(6:2)_(4:4aCO)	2_nonsis	971	1418	1866	2	1418	970	1867	144742_146444	145474_146609	146444_158200	146609_158707	12	1	15	1	1	0	1	2	1	0	145817	                      graph_bin_annot3(2,143000,147000,c(1,2,7,8))	NA	CO
