id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	CO_NCO	chromatids	len_min	len_mid	len_max	nb_seg	seg_len	seg_start	seg_stop	nb_snp	midpoint
96	clb2mms4_1	1500	mms4	5	9	373060	373725	375014	375170	373392.25	375092.25	6:2_4:4_6:2	NCO	1	1290	1700	2109	3	1020.0_264.0_417.0	                      373725_374493_374858_375170	374331_374493_375014_379410	9	374242
98	clb2mms4_1	1500	mms4	5	10	55335	55616	57849	57860	55475.5	57854.5	6:2_4:4_6:2	NCO	1	2234	2379	2524	3	2198.0_119.0_63.0	                      55616_57734_57849_57860	57612_57734_57849_170075	13	56665
29	clb2mms4_1	1500	mms4	5	4	14965	17411	20989	21001	16188	20995	6:2_4:4_6:2	NCO	1	3579	4807	6035	3	1251.0_241.0_3316.0	                      17411_17456_17898_21001	17421_17461_20989_151010	62	18592
120	clb2mms4_1	1500	mms4	5	11	610163	610633	621118	621765	610397.75	621441.75	6:2_4:4_6:2_4:4_6:2	NCO	1	10486	11044	11601	5	665.0_42.0_99.0_111.0_10128.0	                      610633_611074_611136_611271_611357_621765	611052_611074_611136_611271_621118_625505	62	615920
169	clb2mms4_1	1500	mms4	5	14	556381	556633	559922	560120	556507	560021	2:6_4:4_2:6	NCO	1	3290	3514	3738	3	3333.0_64.0_118.0	                      556633_559886_559920_560120	559793_559886_559922_682651	25	558264
174	clb2mms4_1	1500	mms4	5	15	328792	329474	337021	337883	329133	337452	2:6_4:4_2:6	NCO	1	7548	8319	9090	3	385.0_483.0_7452.0	                      329474_329562_330439_337883	329474_329562_337021_340970	13	333293
189	clb2mms4_1	1500	mms4	5	16	307243	307846	315396	316579	307544.5	315987.5	2:6_4:4_2:6	NCO	1	7551	8443	9335	3	6473.0_245.0_1726.0	                      307846_314082_314442_316579	313953_314082_315396_323714	50	311766
190	clb2mms4_1	1500	mms4	5	16	323714	323871	327884	327938	323792.25	327911.25	2:6_4:4_2:6_4:4_2:6_4:4_2:6_4:4_2:6	NCO	1	4014	4119	4223	9	207.0_93.0_1316.0_122.0_1652.0_360.0_273.0_60.0_38.0	                      323871_324017_324159_325463_325595_327317_327764_327862_327884_327938	323981_324024_325352_325463_327044_327317_327764_327862_327884_331898	37	325852
110	clb2mms4_1	1500	mms4	5	11	46135	46276	46283	46445	46205.25	46364.25	06:02	NCO	1	8	159	309	1	159	                      46276_46445	46283_92446	2	46285
79	clb2mms4_1	1500	mms4	5	7	1014262	1014669	1014669	1014780	1014465.5	1014724.5	06:02	NCO	1	1	259	517	1	259	                      1014669_1014780	1014669_1081259	1	1014595
172	clb2mms4_1	1500	mms4	5	15	128788	129004	129007	129347	128896	129177	06:02	NCO	1	4	281	558	1	281	                      129004_129347	129007_268940	2	129037
85	clb2mms4_1	1500	mms4	5	8	339604	339765	339765	340178	339684.5	339971.5	06:02	NCO	1	1	287	573	1	287	                      339765_340178	339765_422995	1	339828
18	clb2mms4_1	1500	mms4	5	2	738942	739566	739566	739887	739253.75	739726.75	06:02	NCO	1	1	473	944	1	473	                      739566_739887	739566_770767	1	739490
132	clb2mms4_1	1500	mms4	5	12	620933	621510	621510	622346	621221.25	621928.25	06:02	NCO	1	1	707	1412	1	707	                      621510_622346	621510_623982	1	621575
67	clb2mms4_1	1500	mms4	5	7	449530	449554	449974	450592	449542	450283	06:02	NCO	1	421	741	1061	1	741	                      449554_450592	449974_455018	10	449913
142	clb2mms4_1	1500	mms4	5	12	1026554	1026886	1027480	1027566	1026720	1027523	06:02	NCO	1	595	803	1011	1	803	                      1026886_1027566	1027480_1064100	5	1027122
21	clb2mms4_1	1500	mms4	5	3	54535	54588	55139	55716	54561.5	55427.5	06:02	NCO	1	552	866	1180	1	866	                      54588_55716	55139_61358	5	54995
114	clb2mms4_1	1500	mms4	5	11	261079	262091	262415	262669	261585	262542	06:02	NCO	1	325	957	1589	1	957	                      262091_262669	262415_263913	2	262064
22	clb2mms4_1	1500	mms4	5	3	61358	61954	62386	63136	61656	62761	06:02	NCO	1	433	1105	1777	1	1105	                      61954_63136	62386_102819	3	62209
133	clb2mms4_1	1500	mms4	5	12	623982	624766	625057	626424	624373.75	625740.75	06:02	NCO	1	292	1367	2441	1	1367	                      624766_626424	625057_642190	5	625057
51	clb2mms4_1	1500	mms4	5	5	334783	335600	335922	337668	335191.25	336795.25	06:02	NCO	1	323	1604	2884	1	1604	                      335600_337668	335922_407953	4	335993
45	clb2mms4_1	1500	mms4	5	4	1479530	1480204	1480264	1483471	1479866.75	1481867.75	06:02	NCO	1	61	2001	3940	1	2001	                      1480204_1483471	1480264_1523057	2	1480867
145	clb2mms4_1	1500	mms4	5	13	177237	178235	179752	179965	177735.75	179858.75	06:02	NCO	1	1518	2123	2727	1	2123	                      178235_179965	179752_196246	6	178797
7	clb2mms4_1	1500	mms4	5	1	204211	206588	206588	208519	205399.5	207553.5	06:02	NCO	1	1	2154	4307	1	2154	                      206588_208519	206588_218983	1	206477
72	clb2mms4_1	1500	mms4	5	7	630116	634325	634644	634961	632220.5	634802.5	06:02	NCO	1	320	2582	4844	1	2582	                      634325_634961	634644_634961	6	633512
106	clb2mms4_1	1500	mms4	5	10	439643	440839	442537	443650	440240.75	443093.75	06:02	NCO	1	1699	2853	4006	1	2853	                      440839_443650	442537_575085	5	441667
80	clb2mms4_1	1500	mms4	5	8	66697	67626	70227	70947	67161.25	70587.25	06:02	NCO	1	2602	3426	4249	1	3426	                      67626_70947	70227_137096	14	68874
163	clb2mms4_1	1500	mms4	5	14	88106	88950	90752	93163	88527.75	91957.75	06:02	NCO	1	1803	3430	5056	1	3430	                      88950_93163	90752_93163	18	90243
84	clb2mms4_1	1500	mms4	5	8	333280	336070	337895	338395	334675	338145	06:02	NCO	1	1826	3470	5114	1	3470	                      336070_338395	337895_339604	9	336410
117	clb2mms4_1	1500	mms4	5	11	396424	397590	399984	401142	397007	400563	06:02	NCO	1	2395	3556	4717	1	3556	                      397590_401142	399984_563487	4	398785
138	clb2mms4_1	1500	mms4	5	12	870212	870632	873718	874615	870421.75	874166.75	06:02	NCO	1	3087	3745	4402	1	3745	                      870632_874615	873718_876119	14	872294
195	clb2mms4_1	1500	mms4	5	16	460693	460758	464556	465954	460725.25	465255.25	06:02	NCO	1	3799	4530	5260	1	4530	                      460758_465954	464556_492289	12	462990
123	clb2mms4_1	1500	mms4	5	12	85384	85579	89863	90628	85481.5	90245.5	06:02	NCO	1	4285	4764	5243	1	4764	                      85579_90628	89863_103699	26	87864
19	clb2mms4_1	1500	mms4	5	2	770767	771834	775066	778891	771300.5	776978.5	06:02	NCO	1	3233	5678	8123	1	5678	                      771834_778891	775066_801693	13	774140
137	clb2mms4_1	1500	mms4	5	12	789116	789209	789209	789268	789162.5	789238.5	02:06	NCO	1	1	76	151	1	76	                      789209_789268	789209_870212	1	789201
109	clb2mms4_1	1500	mms4	5	10	624393	624462	624462	624658	624427.25	624560.25	02:06	NCO	1	1	133	264	1	133	                      624462_624658	624462_727118	1	624494
191	clb2mms4_1	1500	mms4	5	16	331898	331973	332038	332196	331935.25	332117.25	02:06	NCO	1	66	182	297	1	182	                      331973_332196	332038_334745	4	332026
39	clb2mms4_1	1500	mms4	5	4	941148	941432	941432	941702	941290	941567	02:06	NCO	1	1	277	553	1	277	                      941432_941702	941432_1066161	1	941429
101	clb2mms4_1	1500	mms4	5	10	270005	270689	270689	270746	270346.75	270717.75	02:06	NCO	1	1	371	740	1	371	                      270689_270746	270689_278074	1	270532
151	clb2mms4_1	1500	mms4	5	13	433473	433518	433871	433951	433495.25	433911.25	02:06	NCO	1	354	416	477	1	416	                      433518_433951	433871_501142	4	433703
35	clb2mms4_1	1500	mms4	5	4	730702	730732	730732	731926	730717	731329	02:06	NCO	1	1	612	1223	1	612	                      730732_731926	730732_831875	1	731023
102	clb2mms4_1	1500	mms4	5	10	278074	278210	278695	278981	278142	278838	02:06	NCO	1	486	696	906	1	696	                      278210_278981	278695_292111	7	278490
49	clb2mms4_1	1500	mms4	5	5	266307	267672	267672	267772	266989.25	267722.25	02:06	NCO	1	1	733	1464	1	733	                      267672_267772	267672_332268	1	267356
197	clb2mms4_1	1500	mms4	5	16	533885	534424	534891	535608	534154.5	535249.5	02:06	NCO	1	468	1095	1722	1	1095	                      534424_535608	534891_607350	7	534702
108	clb2mms4_1	1500	mms4	5	10	595986	598194	598194	598464	597090	598329	02:06	NCO	1	1	1239	2477	1	1239	                      598194_598464	598194_624393	1	597710
139	clb2mms4_1	1500	mms4	5	12	876119	876713	877624	877837	876415.75	877730.75	02:06	NCO	1	912	1315	1717	1	1315	                      876713_877837	877624_879247	8	877073
76	clb2mms4_1	1500	mms4	5	7	800255	801609	802065	802501	800932	802283	02:06	NCO	1	457	1351	2245	1	1351	                      801609_802501	802065_949017	3	801608
11	clb2mms4_1	1500	mms4	5	2	194229	195012	195963	196148	194620.5	196055.5	02:06	NCO	1	952	1435	1918	1	1435	                      195012_196148	195963_238113	6	195338
63	clb2mms4_1	1500	mms4	5	7	288479	289218	290165	290849	288848.25	290507.25	02:06	NCO	1	948	1659	2369	1	1659	                      289218_290849	290165_291928	3	289678
178	clb2mms4_1	1500	mms4	5	15	673761	675071	675895	676392	674415.75	676143.75	02:06	NCO	1	825	1728	2630	1	1728	                      675071_676392	675895_678101	10	675280
141	clb2mms4_1	1500	mms4	5	12	1010682	1011126	1012272	1013010	1010904	1012641	02:06	NCO	1	1147	1737	2327	1	1737	                      1011126_1013010	1012272_1026554	12	1011773
134	clb2mms4_1	1500	mms4	5	12	642190	642817	644047	644483	642503.25	644265.25	02:06	NCO	1	1231	1762	2292	1	1762	                      642817_644483	644047_676887	4	643384
75	clb2mms4_1	1500	mms4	5	7	796521	797310	798404	799249	796915.5	798826.5	02:06	NCO	1	1095	1911	2727	1	1911	                      797310_799249	798404_800255	12	797871
158	clb2mms4_1	1500	mms4	5	13	794087	795258	796647	796810	794672.5	796728.5	02:06	NCO	1	1390	2056	2722	1	2056	                      795258_796810	796647_864534	7	795701
188	clb2mms4_1	1500	mms4	5	16	297827	298154	300070	300400	297990.25	300235.25	02:06	NCO	1	1917	2245	2572	1	2245	                      298154_300400	300070_307243	12	299113
124	clb2mms4_1	1500	mms4	5	12	103699	103805	104678	107405	103751.75	106041.75	02:06	NCO	1	874	2290	3705	1	2290	                      103805_107405	104678_108687	5	104897
157	clb2mms4_1	1500	mms4	5	13	757280	757814	759081	761317	757547	760199	02:06	NCO	1	1268	2652	4036	1	2652	                      757814_761317	759081_794087	5	758873
147	clb2mms4_1	1500	mms4	5	13	234644	235004	237210	237965	234823.75	237587.75	02:06	NCO	1	2207	2764	3320	1	2764	                      235004_237965	237210_299286	9	236206
149	clb2mms4_1	1500	mms4	5	13	387027	387572	390074	390236	387299.25	390155.25	02:06	NCO	1	2503	2856	3208	1	2856	                      387572_390236	390074_392571	11	388727
162	clb2mms4_1	1500	mms4	5	14	53632	58192	58193	60029	55912	59111	02:06	NCO	1	2	3199	6396	1	3199	                      58192_60029	58193_88106	2	57512
