id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	midpoint1	midpoint2	midpoint3	commande	Notes	B_type	extend	LocalEventHpM_PAN	LocalEventHpM_NWT	LocalEventHpM_NTEL	LocalEventHpM_DC	CO_NCO
1	OM1	1500	OM	1	1	36160	36898	38689	38888	36528.75	38788.75	(2:6)_(3:5)_(5:3)_(4:4aCO)_(3:5)_(4:4a)	2_nonsis	1792	2260	2727	6	430_373_83_160_1214	                      0_275_0_93_1094	859_471_166_226_1335	36160_36898_37294_37369_37553_38689	36898_37019_37369_37460_37595_38888	36898_37294_37369_37553_38689_61708	37019_37369_37460_37595_38888_61999	431.85	227	1.9	20	1_2_1_3_13	34_6_34_345_5	3	20	1	1	0	2	2	1	1	37658.75	37658.75	NA	NA	"                      graph_bin_annot3(1,35000,39000,c(3,4,5,6))"		Two-Sided Bidirectional	1363.5	431.848	497.6275	527.2113	8.7926	CO
2	OM1	1500	OM	1	1	61708	61999	61708	61999	61781	61926	(4:4aCO)	2_nonsis	0	145	290	1	0	0	0	61708	61999	130975	135319	3.95	24	0.16	0	0	0	1	100	1	1	0	1	1	0	0	61853.5	61853.5	NA	NA	"                      graph_bin_annot3(1,60000,62000,c(1,2,7,8))"		No Strand Transfer	145	3.9483	7.4705	5.7835	0.0584	CO
3	OM1	1500	OM	1	1	130975	135319	130975	135319	132061	134233	(4:4aCO)	2_nonsis	0	2172	4343	1	0	0	0	130975	135319	173222	173966	524.14	362	1.45	0	0	0	1	100	1	1	0	1	1	0	0	133147	133147	NA	NA	"                      graph_bin_annot3(1,129000,136000,c(3,4,7,8))"		No Strand Transfer	2171.5	524.1401	403.5979	395.5537	6.4834	CO
4	OM1	1500	OM	1	1	173222	173966	175578	175876	173594	175727	5:3_5:3a	1	1613	2133	2653	2	1396_736	                      708_271	2085_1202	173222_174674_175578	173966_175307_175876	174674_175578_184083	175307_175876_184235	109.57	221	0.5	6	2_4	1_12	2	11	1	0	1	1	1	1	1	174660.5	174660.5	NA	NA	"                      graph_bin_annot3(1,172000,176000,c(1,2))"		Two-Sided	1326.5	109.566	175.7687	142.922	3.544	NCO
5	OM1	1500	OM	1	1	184083	184235	184921	185150	184159.25	185035.25	(2:6)_(6:2)_(4:4aCO)	2_nonsis	687	876	1066	3	556_320	                      275_0	838_640	184083_184510_184921	184235_184921_185150	184510_184921_203038	184921_185150_230218	68.11	89	0.77	10	9_1	34_3478	3	20	1	1	0	2	2	1	1	184597.25	184597.25	NA	NA	"                      graph_bin_annot3(1,183000,186000,c(3,4,7,8))"		One-Sided Bidirectional	533	68.1086	131.9899	163.5116	4.4038	CO
6	OM1	1500	OM	1	2	45075	45304	47900	47948	45189.75	47923.75	5:3_4:4_5:3a_5:3b	2_nonsis	2597	2734	2872	4	2031_208_328_168	                      1893_0_0_0	2169_415_656_336	45075_47197_47244_47612_47900	45304_47244_47612_47900_47948	47197_47244_47612_47900_61810	47244_47612_47900_47948_62000	750.18	239	3.14	12	9_1_1_1	5_5_6_25	3	30	1	0	1	1	2	2	1	46556.75	46556.75	NA	NA	"                      graph_bin_annot3(2,44000,48000,c(1,2,5,6))"		Two Chr	1436	750.1816	519.4579	316.6602	3.458	NCO
7	OM1	1500	OM	1	2	61810	62000	62445	62830	61905.25	62637.25	(6:2)_(5:3)_(4:4aCO)	2_nonsis	446	732	1019	3	318_415	                      0_0	635_830	61810_62000_62445	62000_62445_62830	62000_62445_70638	62445_62830_70774	196.43	85	2.32	2	1_1	78_1	1	8	1	1	0	1	1	0	0	62271.25	62271.25	NA	NA	"                      graph_bin_annot3(2,60000,63000,c(1,2,7,8))"		One-Sided Unidirectional	509.5	196.4291	140.0078	97.2855	2.2112	CO
8	OM1	1500	OM	1	2	70638	70774	72233	72395	70706	72314	(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	2_nonsis	1460	1608	1756	6	512_268_141_296_391	                      387_144_68_194_215	638_392_214_397_567	70638_71161_71420_71621_71828_72233	70774_71276_71553_71634_72018_72395	71161_71420_71621_71828_72233_215989	71276_71553_71634_72018_72395_216051	1762.43	146	12.05	17	2_3_3_4_5	5_3_4_5_5	3	21	1	1	0	2	2	1	1	71510	71510	NA	NA	"                      graph_bin_annot3(2,69000,73000,c(3,4,5,6))"		Two-Sided Bidirectional	878	1762.4333	1614.7235	1690.0984	46.9486	CO
9	OM1	1500	OM	1	2	215989	216051	218741	219119	216020	218930	(3:5)_(4:4ai)_(5:3)_(4:4bCO)	3	2691	2910	3129	0	1070_484_1356	                      1019_0_702	1120_969_2010	215989_217070_217109_218741	216051_217109_218039_219119	217070_217109_218741_269036	217109_218039_219119_269210	1758.98	261	6.75	17	10_1_6	5_1_246	0	2	2	1	1	2	2	1	1	217475	216747.5	218202.5	NA	"                      graph_bin_annot3(2,214000,220000,c(1,2,3,4,5,6))"		>2 Chr CO	1564.5	1758.9785	1447.4474	1410.7564	28.3836	CO
10	OM1	1500	OM	1	2	269036	269210	270207	270387	269123	270297	5:3_4:4_5:3a	1	998	1174	1350	3	183_783_208	                      0_585_16	366_981_400	269036_269210_269987_270207	269210_269402_270191_270387	269210_269987_270207_317892	269402_270191_270387_318192	193.47	112	1.72	9	1_6_2	5_5_6	2	15	1	0	1	1	1	1	1	269710	269710	NA	NA	"                      graph_bin_annot3(2,268000,271000,c(5,6))"		Two-Sided	675	193.4679	203.194	213.7009	2.547	NCO
11	OM1	1500	OM	1	2	317892	318192	318225	318982	318041.75	318603.75	(3:5)_(4:4aCO)	2_nonsis	34	562	1089	2	562	33	1090	317892_318225	318192_318982	318225_350451	318982_350900	85.88	91	0.95	2	2	378	1	2	1	1	0	1	1	0	0	318322.75	318322.75	NA	NA	"                      graph_bin_annot3(2,316000,319000,c(3,4,7,8))"		One-Sided Unidirectional	544.5	85.8761	102.8428	97.2112	0.3816	CO
12	OM1	1500	OM	1	2	350451	350900	350900	351083	350675.5	350991.5	03:05	1	1	316	631	1	316	0	632	350451_350900	350900_351083	350900_371746	351083_372547	578.92	53	11.02	1	1	1	1	2	1	0	1	1	1	1	1	350833.5	350833.5	NA	NA	"                      graph_bin_annot3(2,349000,352000,c(1,2))"		One-Sided	315.5	578.9231	469.6599	495.5162	19.1848	NCO
13	OM1	1500	OM	1	2	371746	372547	373488	373782	372146.75	373634.75	3:5_3:5a	1	942	1488	2035	2	1030_459	                      465_148	1594_770	371746_373012_373488	372547_373340_373782	373012_373488_392022	373340_373782_392544	101.67	169	0.6	7	5_2	1_12	2	12	1	0	1	1	1	1	1	372890.75	372890.75	NA	NA	"                      graph_bin_annot3(2,370000,374000,c(1,2))"		Two-Sided	1017.5	101.6694	79.4297	97.8084	0.642	NCO
